Week Start,Week End,Category,Transaction Count,Transaction Value SAR,Average Ticket SAR
2025-07-20,2025-07-26,Recreation & Culture,3145000,297346000,94.54562798092209
2025-07-20,2025-07-26,Restaurants & Cafés,52123000,1548730000,29.712986589413504
2025-07-20,2025-07-26,Telecommunication,3076000,131861000,42.86768530559168
2025-07-20,2025-07-26,Transportation,5020000,945762000,188.3988047808765
2025-07-27,2025-08-02,"Apparel, Clothing & Accessories",9211000,1118598000,121.44153729236783
2025-07-27,2025-08-02,Bakeries & Pastries,5256000,251903000,47.926750380517504
2025-07-27,2025-08-02,Construction & Building Materials,2562000,442082000,172.55347384855583
2025-07-27,2025-08-02,Education,166000,190034000,1144.7831325301204
2025-07-27,2025-08-02,Electronic & Electric Devices,1766000,194603000,110.19422423556058
2025-07-27,2025-08-02,Food & Beverages,54635000,2344124000,42.90517067813673
2025-07-27,2025-08-02,Furniture & Home Supplies,2868000,552452000,192.62622036262204
2025-07-27,2025-08-02,Gas Stations,18463000,1097439000,59.439906840708446
2025-07-27,2025-08-02,Health,11057000,1028683000,93.03454824997739
2025-07-27,2025-08-02,Hotels,1016000,353511000,347.94389763779526
2025-07-27,2025-08-02,Jewelry,331000,377907000,1141.7129909365558
2025-07-27,2025-08-02,Laundry Services,3259000,67574000,20.73458115986499
2025-07-27,2025-08-02,Others,42346000,2627222000,62.04179851697917
2025-07-27,2025-08-02,Professional & Business Services,16279000,1197461000,73.55863382271639
2025-07-27,2025-08-02,Public Utilities & Services,767000,54845000,71.50586701434159
2025-07-27,2025-08-02,Recreation & Culture,4003000,398845000,99.63652260804396
2025-07-27,2025-08-02,Restaurants & Cafés,59637000,1902222000,31.896674883042408
2025-07-27,2025-08-02,Telecommunication,3798000,193823000,51.03291205897841
2025-07-27,2025-08-02,Transportation,6616000,1212917000,183.33086457073762
2025-08-03,2025-08-09,"Apparel, Clothing & Accessories",8378000,998901000,119.22905227978038
2025-08-03,2025-08-09,Bakeries & Pastries,4928000,221732000,44.99431818181818
2025-08-03,2025-08-09,Construction & Building Materials,2447000,409450000,167.3273395995096
2025-08-03,2025-08-09,Education,161000,251786000,1563.888198757764
2025-08-03,2025-08-09,Electronic & Electric Devices,1641000,174837000,106.54296160877514
2025-08-03,2025-08-09,Food & Beverages,51976000,1927744000,37.08911805448668
2025-08-03,2025-08-09,Furniture & Home Supplies,2608000,489296000,187.61349693251535
2025-08-03,2025-08-09,Gas Stations,17226000,993775000,57.69040984558226
2025-08-03,2025-08-09,Health,9862000,881566000,89.39018454674508
2025-08-03,2025-08-09,Hotels,989000,349972000,353.8645096056623
2025-08-03,2025-08-09,Jewelry,293000,315067000,1075.3139931740614
2025-08-03,2025-08-09,Laundry Services,2914000,52588000,18.046671242278656
2025-08-03,2025-08-09,Others,39414000,2245133000,56.96283046633176
2025-08-03,2025-08-09,Professional & Business Services,15083000,1035612000,68.6608764834582
2025-08-03,2025-08-09,Public Utilities & Services,700000,47374000,67.67714285714285
2025-08-03,2025-08-09,Recreation & Culture,3663000,345581000,94.34370734370735
2025-08-03,2025-08-09,Restaurants & Cafés,56962000,1752504000,30.76619500719778
2025-08-03,2025-08-09,Telecommunication,3458000,149926000,43.35627530364373
2025-08-03,2025-08-09,Transportation,5819000,1037310000,178.26258807355217
2025-08-10,2025-08-16,"Apparel, Clothing & Accessories",8252000,985165000,119.38499757634513
2025-08-10,2025-08-16,Bakeries & Pastries,4889000,213680000,43.70627940274085
2025-08-10,2025-08-16,Construction & Building Materials,2399000,399397000,166.48478532721967
2025-08-10,2025-08-16,Education,183000,444862000,2430.9398907103823
2025-08-10,2025-08-16,Electronic & Electric Devices,1592000,169251000,106.31344221105527
2025-08-10,2025-08-16,Food & Beverages,51656000,1878839000,36.372134892364876
2025-08-10,2025-08-16,Furniture & Home Supplies,2495000,462600000,185.41082164328657
2025-08-10,2025-08-16,Gas Stations,17388000,995320000,57.24177593742811
2025-08-10,2025-08-16,Health,9641000,846233000,87.77440099574733
2025-08-10,2025-08-16,Hotels,920000,318390000,346.07608695652175
2025-08-10,2025-08-16,Jewelry,274000,298528000,1089.5182481751824
2025-08-10,2025-08-16,Laundry Services,2840000,50504000,17.783098591549297
2025-08-10,2025-08-16,Others,38245000,2172742000,56.81113871094261
2025-08-10,2025-08-16,Professional & Business Services,14836000,995544000,67.10326233486114
2025-08-10,2025-08-16,Public Utilities & Services,696000,44803000,64.37212643678161
2025-08-10,2025-08-16,Recreation & Culture,3482000,332406000,95.46410109132682
2025-08-10,2025-08-16,Restaurants & Cafés,55931000,1689992000,30.215658579320948
2025-08-10,2025-08-16,Telecommunication,3284000,136870000,41.67783191230207
2025-08-10,2025-08-16,Transportation,5780000,1036515000,179.32785467128028
2025-08-17,2025-08-23,"Apparel, Clothing & Accessories",8338000,1016470000,121.90813144639002
2025-08-17,2025-08-23,Bakeries & Pastries,4577000,194420000,42.47760541839633
2025-08-17,2025-08-23,Construction & Building Materials,2239000,389293000,173.8691380080393
2025-08-17,2025-08-23,Education,270000,1032713000,3824.862962962963
2025-08-17,2025-08-23,Electronic & Electric Devices,1463000,159163000,108.79220779220779
2025-08-17,2025-08-23,Food & Beverages,48937000,1780739000,36.38839732717576
2025-08-17,2025-08-23,Furniture & Home Supplies,2365000,448257000,189.53784355179704
2025-08-17,2025-08-23,Gas Stations,16833000,936402000,55.62894314738906
2025-08-17,2025-08-23,Health,9072000,793936000,87.51499118165785
2025-08-17,2025-08-23,Hotels,779000,272119000,349.3183568677792
2025-08-17,2025-08-23,Jewelry,243000,268493000,1104.9094650205761
2025-08-17,2025-08-23,Laundry Services,2634000,45802000,17.388762338648444
2025-08-17,2025-08-23,Others,36409000,2097932000,57.62124749375155
2025-08-17,2025-08-23,Professional & Business Services,13883000,933763000,67.2594540084996
2025-08-17,2025-08-23,Public Utilities & Services,660000,43199000,65.4530303030303
2025-08-17,2025-08-23,Recreation & Culture,3408000,351098000,103.02171361502347
2025-08-17,2025-08-23,Restaurants & Cafés,52811000,1547194000,29.29681316392418
2025-08-17,2025-08-23,Telecommunication,3055000,124258000,40.673649754500815
2025-08-17,2025-08-23,Transportation,5201000,972183000,186.9223226302634
2025-08-24,2025-08-30,"Apparel, Clothing & Accessories",9743000,1182393000,121.35820589140921
2025-08-24,2025-08-30,Bakeries & Pastries,7040000,263139000,37.37769886363636
2025-08-24,2025-08-30,Construction & Building Materials,2354000,413634000,175.71537807986405
2025-08-24,2025-08-30,Education,361000,1104339000,3059.1108033241
2025-08-24,2025-08-30,Electronic & Electric Devices,1687000,185427000,109.91523414344991
2025-08-24,2025-08-30,Food & Beverages,51967000,2303931000,44.33450074085477
2025-08-24,2025-08-30,Furniture & Home Supplies,2690000,516201000,191.89628252788103
2025-08-24,2025-08-30,Gas Stations,18743000,1088110000,58.054206903910796
2025-08-24,2025-08-30,Health,10292000,947680000,92.07928488146133
2025-08-24,2025-08-30,Hotels,741000,254388000,343.30364372469637
2025-08-24,2025-08-30,Jewelry,278000,290325000,1044.3345323741007
2025-08-24,2025-08-30,Laundry Services,3097000,62072000,20.042621892153697
2025-08-24,2025-08-30,Others,40672000,2553775000,62.789511211644374
2025-08-24,2025-08-30,Professional & Business Services,15480000,1109183000,71.65264857881137
2025-08-24,2025-08-30,Public Utilities & Services,746000,50975000,68.33109919571045
2025-08-24,2025-08-30,Recreation & Culture,4664000,463888000,99.46140651801029
2025-08-24,2025-08-30,Restaurants & Cafés,56825000,1700751000,29.929626044874617
2025-08-24,2025-08-30,Telecommunication,3589000,168859000,47.0490387294511
2025-08-24,2025-08-30,Transportation,6024000,1136045000,188.58648738379813
2025-08-31,2025-09-06,"Apparel, Clothing & Accessories",9143000,1034386000,113.13420102810893
2025-08-31,2025-09-06,Bakeries & Pastries,8398000,283345000,33.73958085258395
2025-08-31,2025-09-06,Construction & Building Materials,2382000,410792000,172.45675902602855
2025-08-31,2025-09-06,Education,331000,671717000,2029.356495468278
2025-08-31,2025-09-06,Electronic & Electric Devices,1814000,196826000,108.50385887541346
2025-08-31,2025-09-06,Food & Beverages,53245000,2262839000,42.49861958869377
2025-08-31,2025-09-06,Furniture & Home Supplies,2616000,505686000,193.30504587155963
2025-08-31,2025-09-06,Gas Stations,18801000,1083487000,57.629221849901604
2025-08-31,2025-09-06,Health,10205000,930579000,91.18853503184714
2025-08-31,2025-09-06,Hotels,731000,264856000,362.3201094391245
2025-08-31,2025-09-06,Jewelry,297000,310355000,1044.96632996633
2025-08-31,2025-09-06,Laundry Services,3170000,59045000,18.626182965299684
2025-08-31,2025-09-06,Others,41616000,2456357000,59.024341599384854
2025-08-31,2025-09-06,Professional & Business Services,15311000,1058556000,69.1369603553001
2025-08-31,2025-09-06,Public Utilities & Services,784000,53239000,67.90688775510205
2025-08-31,2025-09-06,Recreation & Culture,5288000,458417000,86.69005295007564
2025-08-31,2025-09-06,Restaurants & Cafés,58252000,1672136000,28.705211838220148
2025-08-31,2025-09-06,Telecommunication,4052000,181363000,44.75888450148075
2025-08-31,2025-09-06,Transportation,6064000,1051826000,173.45415567282322
2025-09-07,2025-09-13,"Apparel, Clothing & Accessories",8248000,902679000,109.44216779825412
2025-09-07,2025-09-13,Bakeries & Pastries,7939000,253782000,31.966494520720495
2025-09-07,2025-09-13,Construction & Building Materials,2275000,393366000,172.90813186813187
2025-09-07,2025-09-13,Education,255000,285125000,1118.137254901961
2025-09-07,2025-09-13,Electronic & Electric Devices,1739000,188460000,108.37262794709603
2025-09-07,2025-09-13,Food & Beverages,52248000,1965973000,37.627717807380186
2025-09-07,2025-09-13,Furniture & Home Supplies,2386000,497516000,208.5146689019279
2025-09-07,2025-09-13,Gas Stations,18298000,1022802000,55.89692862607935
2025-09-07,2025-09-13,Health,9678000,876341000,90.54980367844595
2025-09-07,2025-09-13,Hotels,691000,254068000,367.68162083936323
2025-09-07,2025-09-13,Jewelry,281000,317732000,1130.7188612099644
2025-09-07,2025-09-13,Laundry Services,2926000,49466000,16.905673274094326
2025-09-07,2025-09-13,Others,39314000,2081239000,52.93887673602279
2025-09-07,2025-09-13,Professional & Business Services,13566000,912581000,67.26971841368126
2025-09-07,2025-09-13,Public Utilities & Services,742000,48258000,65.0377358490566
2025-09-07,2025-09-13,Recreation & Culture,4589000,371632000,80.98322074526041
2025-09-07,2025-09-13,Restaurants & Cafés,56427000,1570744000,27.836744820741842
2025-09-07,2025-09-13,Telecommunication,3922000,149891000,38.218001019887815
2025-09-07,2025-09-13,Transportation,5533000,966767000,174.72745346105188
2025-09-14,2025-09-20,"Apparel, Clothing & Accessories",7882000,881792000,111.87414361837097
2025-09-14,2025-09-20,Bakeries & Pastries,7443000,236396000,31.760849119978502
2025-09-14,2025-09-20,Construction & Building Materials,2149000,410413000,190.97859469520708
2025-09-14,2025-09-20,Education,222000,172629000,777.6081081081081
2025-09-14,2025-09-20,Electronic & Electric Devices,1642000,201338000,122.61753958587089
2025-09-14,2025-09-20,Food & Beverages,49772000,1811530000,36.396568351683676
2025-09-14,2025-09-20,Furniture & Home Supplies,2344000,609458000,260.00767918088735
2025-09-14,2025-09-20,Gas Stations,17403000,955709000,54.916336263862554
2025-09-14,2025-09-20,Health,9126000,829530000,90.8974358974359
2025-09-14,2025-09-20,Hotels,655000,245584000,374.93740458015264
2025-09-14,2025-09-20,Jewelry,271000,352099000,1299.2583025830259
2025-09-14,2025-09-20,Laundry Services,2656000,43481000,16.37085843373494
2025-09-14,2025-09-20,Others,36926000,1922156000,52.0542707035693
2025-09-14,2025-09-20,Professional & Business Services,12434000,822966000,66.18674601898022
2025-09-14,2025-09-20,Public Utilities & Services,731000,47650000,65.18467852257182
2025-09-14,2025-09-20,Recreation & Culture,4054000,342352000,84.44795263936852
2025-09-14,2025-09-20,Restaurants & Cafés,53340000,1447532000,27.137832770903636
2025-09-14,2025-09-20,Telecommunication,3661000,139043000,37.979513794045346
2025-09-14,2025-09-20,Transportation,5089000,931915000,183.12340341913932
2025-09-21,2025-09-27,"Apparel, Clothing & Accessories",8631000,951084000,110.19395203336809
2025-09-21,2025-09-27,Bakeries & Pastries,7563000,255227000,33.74679360042311
2025-09-21,2025-09-27,Construction & Building Materials,2077000,413237000,198.95859412614348
2025-09-21,2025-09-27,Education,176000,113431000,644.4943181818181
2025-09-21,2025-09-27,Electronic & Electric Devices,1687000,204897000,121.45643153526972
2025-09-21,2025-09-27,Food & Beverages,49492000,1852616000,37.43263557746707
2025-09-21,2025-09-27,Furniture & Home Supplies,2548000,682047000,267.67935635792776
2025-09-21,2025-09-27,Gas Stations,17658000,948556000,53.71820138180995
2025-09-21,2025-09-27,Health,9080000,843867000,92.93689427312775
2025-09-21,2025-09-27,Hotels,662000,233055000,352.0468277945619
2025-09-21,2025-09-27,Jewelry,279000,325555000,1166.863799283154
2025-09-21,2025-09-27,Laundry Services,2717000,44556000,16.39896945160103
2025-09-21,2025-09-27,Others,37632000,1994370000,52.996651785714285
2025-09-21,2025-09-27,Professional & Business Services,12613000,823022000,65.25188297787996
2025-09-21,2025-09-27,Public Utilities & Services,727000,46519000,63.987620357634114
2025-09-21,2025-09-27,Recreation & Culture,4010000,378978000,94.50822942643391
2025-09-21,2025-09-27,Restaurants & Cafés,54782000,1587866000,28.98517761308459
2025-09-21,2025-09-27,Telecommunication,3815000,155734000,40.821494102228044
2025-09-21,2025-09-27,Transportation,5286000,917253000,173.5249716231555
2025-09-28,2025-10-04,"Apparel, Clothing & Accessories",9975000,1145733000,114.86045112781954
2025-09-28,2025-10-04,Bakeries & Pastries,8414000,312652000,37.158545281673405
2025-09-28,2025-10-04,Construction & Building Materials,2536000,474823000,187.23304416403786
2025-09-28,2025-10-04,Education,266000,238233000,895.6127819548872
2025-09-28,2025-10-04,Electronic & Electric Devices,1988000,229247000,115.31539235412475
2025-09-28,2025-10-04,Food & Beverages,57145000,2677009000,46.8459007787208
2025-09-28,2025-10-04,Furniture & Home Supplies,2847000,654712000,229.96557780119423
2025-09-28,2025-10-04,Gas Stations,19359000,1135598000,58.659951443772925
2025-09-28,2025-10-04,Health,11241000,1062423000,94.51321056845477
2025-09-28,2025-10-04,Hotels,769000,288574000,375.25877763329
2025-09-28,2025-10-04,Jewelry,341000,456070000,1337.4486803519062
2025-09-28,2025-10-04,Laundry Services,3333000,69737000,20.923192319231923
2025-09-28,2025-10-04,Others,43403000,2716445000,62.586572356749535
2025-09-28,2025-10-04,Professional & Business Services,13665000,1000426000,73.21083058909623
2025-09-28,2025-10-04,Public Utilities & Services,871000,60538000,69.50401836969002
2025-09-28,2025-10-04,Recreation & Culture,4900000,436247000,89.03
2025-09-28,2025-10-04,Restaurants & Cafés,60598000,1779726000,29.369385128222053
2025-09-28,2025-10-04,Telecommunication,4695000,227012000,48.35186368477103
2025-09-28,2025-10-04,Transportation,6647000,1181980000,177.82157364224463
2025-10-05,2025-10-11,"Apparel, Clothing & Accessories",8839000,967754000,109.48681977599276
2025-10-05,2025-10-11,Bakeries & Pastries,7923000,264929000,33.43796541713997
2025-10-05,2025-10-11,Construction & Building Materials,2422000,418944000,172.97440132122213
2025-10-05,2025-10-11,Education,232000,152765000,658.4698275862069
2025-10-05,2025-10-11,Electronic & Electric Devices,1844000,192800000,104.55531453362256
2025-10-05,2025-10-11,Food & Beverages,54251000,2055055000,37.880499898619384
2025-10-05,2025-10-11,Furniture & Home Supplies,2510000,458330000,182.601593625498
2025-10-05,2025-10-11,Gas Stations,18319000,1031619000,56.31415470276762
2025-10-05,2025-10-11,Health,10379000,885506000,85.3170825705752
2025-10-05,2025-10-11,Hotels,816000,307778000,377.17892156862746
2025-10-05,2025-10-11,Jewelry,307000,432615000,1409.1693811074917
2025-10-05,2025-10-11,Laundry Services,2963000,51622000,17.42220722240972
2025-10-05,2025-10-11,Others,40650000,2196501000,54.03446494464945
2025-10-05,2025-10-11,Professional & Business Services,11317000,762885000,67.41053282672087
2025-10-05,2025-10-11,Public Utilities & Services,781000,50310000,64.41741357234315
2025-10-05,2025-10-11,Recreation & Culture,4408000,338632000,76.82214156079854
2025-10-05,2025-10-11,Restaurants & Cafés,59029000,1680005000,28.460671873147096
2025-10-05,2025-10-11,Telecommunication,4216000,176135000,41.77775142314991
2025-10-05,2025-10-11,Transportation,6035000,994785000,164.83595691797845
2025-10-12,2025-10-18,"Apparel, Clothing & Accessories",7873000,880529000,111.84161056776324
2025-10-12,2025-10-18,Bakeries & Pastries,7422000,238625000,32.15103745621126
2025-10-12,2025-10-18,Construction & Building Materials,2291000,395625000,172.68659973810563
2025-10-12,2025-10-18,Education,200000,105127000,525.635
2025-10-12,2025-10-18,Electronic & Electric Devices,1727000,182354000,105.59004053271569
2025-10-12,2025-10-18,Food & Beverages,51960000,1915968000,36.87390300230947
2025-10-12,2025-10-18,Furniture & Home Supplies,2238000,405336000,181.1152815013405
2025-10-12,2025-10-18,Gas Stations,17093000,944883000,55.278944597203534
2025-10-12,2025-10-18,Health,9877000,818667000,82.88620026323782
2025-10-12,2025-10-18,Hotels,714000,297597000,416.80252100840335
2025-10-12,2025-10-18,Jewelry,276000,429803000,1557.2572463768115
2025-10-12,2025-10-18,Laundry Services,2813000,47486000,16.8809100604337
2025-10-12,2025-10-18,Others,38073000,1945727000,51.105166390880676
2025-10-12,2025-10-18,Professional & Business Services,10546000,671240000,63.64877678740755
2025-10-12,2025-10-18,Public Utilities & Services,736000,47753000,64.88179347826087
2025-10-12,2025-10-18,Recreation & Culture,4268000,289322000,67.78865979381443
2025-10-12,2025-10-18,Restaurants & Cafés,55226000,1523287000,27.58278709303589
2025-10-12,2025-10-18,Telecommunication,3907000,153085000,39.182237010493985
2025-10-12,2025-10-18,Transportation,5465000,914860000,167.40347666971638
2025-10-19,2025-10-25,"Apparel, Clothing & Accessories",7412000,852422000,115.0056664867782
2025-10-19,2025-10-25,Bakeries & Pastries,7017000,221581000,31.57773977483255
